ФИО автора,название,год издания,количество страниц
Пушкин Александр Сергеевич,Хамелеон,1889,741
Шолохов Михаил Александрович,Хамелеон,1865,1175
Чехов Антон Павлович,В окопах Сталинграда,1210,1544
Бунин Иван Алексеевич,Евгений Онегин,1380,954
Достоевский Фёдор Михайлович,Вишнёвый сад,1910,1385
Тургенев Иван Сергеевич,Братья Карамазовы,1216,212
Толстой Лев Николаевич,Судьба человека,1239,61
Некрасов Виктор Платонович,Записки охотника,1966,1623
Чехов Антон Павлович,Белая гвардия,1945,864
Шолохов Михаил Александрович,Крестьянские дети,1389,313
Достоевский Фёдор Михайлович,Кому на Руси жить хорошо,1748,488
Толстой Алексей Николаевич,Отцы и дети,1313,598
Некрасов Николай Алексеевич,Дом с мезонином,1454,1589
Пушкин Александр Сергеевич,Антоновские яблоки,1198,754
Гоголь Николай Васильевич,Детство,1286,1722
Чехов Антон Павлович,Морфий,1313,1682
Чехов Антон Павлович,Мертвые души,1701,136
Булгаков Михаил Афанасьевич,Белая гвардия,1626,1596
Толстой Лев Николаевич,Мертвые души,1397,1990
Толстой Алексей Николаевич,Дом с мезонином,1231,1997
Толстой Лев Николаевич,Ревизор,1758,1421
Шолохов Михаил Александрович,Ревизор,1548,83
Булгаков Михаил Афанасьевич,Лёгкое дыхание,1258,1789
Толстой Лев Николаевич,Братья Карамазовы,1235,85
Шолохов Михаил Александрович,Листопад,2001,703
Гоголь Николай Васильевич,Первая любовь,1696,435
Пушкин Александр Сергеевич,Аэлита,1321,102
Некрасов Виктор Платонович,Ионыч,1475,499
Шолохов Михаил Александрович,Аэлита,1246,1133
Бунин Иван Алексеевич,Судьба человека,1189,1323
Некрасов Виктор Платонович,Листопад,1834,1380
Толстой Алексей Николаевич,Вишнёвый сад,1287,1362
Некрасов Николай Алексеевич,Преступление и наказание,1956,1204
Достоевский Фёдор Михайлович,Анна Каренина,1446,1973
Бунин Иван Алексеевич,Братья Карамазовы,1996,1595
Некрасов Николай Алексеевич,Ася,1781,1535
Тургенев Иван Сергеевич,Аэлита,1803,1906
Гоголь Николай Васильевич,Донские рассказы,1504,566
Толстой Алексей Николаевич,Белая гвардия,1669,477
Некрасов Николай Алексеевич,Митина любовь,1148,278
Бунин Иван Алексеевич,Бесы,1375,1494
Достоевский Фёдор Михайлович,Преступление и наказание,1950,1674
Чехов Антон Павлович,Ася,1873,506
Толстой Лев Николаевич,Кому на Руси жить хорошо,1719,1375
Булгаков Михаил Афанасьевич,Ася,1984,530
Бунин Иван Алексеевич,Хождение по мукам,1480,1884
Бунин Иван Алексеевич,Война и мир,1468,1926
Тургенев Иван Сергеевич,Вий,1463,1735
Бунин Иван Алексеевич,Дом с мезонином,1375,1772
Бунин Иван Алексеевич,Воскресение,1840,955
Гоголь Николай Васильевич,Мастер и Маргарита,1135,1273
Достоевский Фёдор Михайлович,Детство,1342,895
Толстой Алексей Николаевич,Ревизор,1544,418
Чехов Антон Павлович,Братья Карамазовы,1626,36
Некрасов Виктор Платонович,Собачье сердце,1142,76
Некрасов Виктор Платонович,Отцы и дети,1946,1311
Некрасов Николай Алексеевич,Война и мир,1471,1985
Гоголь Николай Васильевич,Шинель,1346,1275
Шолохов Михаил Александрович,Хождение по мукам,2019,636
Бунин Иван Алексеевич,Антоновские яблоки,1883,1094
Шолохов Михаил Александрович,Первая любовь,1382,1207
Пушкин Александр Сергеевич,Вий,1895,1249
Достоевский Фёдор Михайлович,Тихий Дон,1701,833
Некрасов Виктор Платонович,Морфий,1594,1125
Шолохов Михаил Александрович,Пётр Первый,1669,760
Чехов Антон Павлович,Анна Каренина,1523,407
Некрасов Николай Алексеевич,Крестьянские дети,1203,1145
Шолохов Михаил Александрович,Евгений Онегин,1200,1978
Булгаков Михаил Афанасьевич,Аэлита,1321,967
Тургенев Иван Сергеевич,Дом с мезонином,1685,1830
Толстой Лев Николаевич,Лёгкое дыхание,1575,1576
Шолохов Михаил Александрович,В окопах Сталинграда,1681,977
Некрасов Виктор Платонович,Лёгкое дыхание,1743,1493
Чехов Антон Павлович,Тарас Бульба,1700,934
Шолохов Михаил Александрович,Белые ночи,1591,1129
Тургенев Иван Сергеевич,Евгений Онегин,1493,1384
Некрасов Николай Алексеевич,Анна Каренина,1449,1216
Толстой Алексей Николаевич,Шинель,1858,1684
Некрасов Николай Алексеевич,Донские рассказы,1448,1172
Пушкин Александр Сергеевич,В окопах Сталинграда,1372,1173
Бунин Иван Алексеевич,Первая любовь,1460,736
Пушкин Александр Сергеевич,Хождение по мукам,1210,1117
Достоевский Фёдор Михайлович,Ревизор,1350,1774
Булгаков Михаил Афанасьевич,Дама с собачкой,1523,1826
Шолохов Михаил Александрович,Антоновские яблоки,1914,1590
Чехов Антон Павлович,Преступление и наказание,2012,311
Гоголь Николай Васильевич,Братья Карамазовы,1841,188
Гоголь Николай Васильевич,Тёмные аллеи,1122,1724
Тургенев Иван Сергеевич,Донские рассказы,1308,1968
Некрасов Виктор Платонович,Мертвые души,1223,830
Некрасов Виктор Платонович,Антоновские яблоки,1271,1071
Достоевский Фёдор Михайлович,Судьба человека,1329,1674
Гоголь Николай Васильевич,Мертвые души,1331,294
Толстой Лев Николаевич,Бесы,1519,589
Пушкин Александр Сергеевич,Мертвые души,1129,952
Тургенев Иван Сергеевич,Дама с собачкой,1116,1079
Некрасов Виктор Платонович,Маленькая печальная повесть,1248,1086
Пушкин Александр Сергеевич,Тихий Дон,1577,1950
Достоевский Фёдор Михайлович,Воскресение,1737,1447
Тургенев Иван Сергеевич,Ионыч,2020,1187
Некрасов Николай Алексеевич,Митина любовь,1631,573
Булгаков Михаил Афанасьевич,Митина любовь,1533,813
Достоевский Фёдор Михайлович,Тёмные аллеи,1756,47
Тургенев Иван Сергеевич,Белая гвардия,1809,378
Чехов Антон Павлович,Донские рассказы,1983,1292
Некрасов Виктор Платонович,Записки охотника,1791,130
Толстой Алексей Николаевич,Бесы,1233,1821
Тургенев Иван Сергеевич,Дама с собачкой,1698,249
Толстой Алексей Николаевич,Пётр Первый,1820,1239
Толстой Лев Николаевич,Ася,1680,1798
Булгаков Михаил Афанасьевич,Евгений Онегин,1989,281
Шолохов Михаил Александрович,Русские женщины,1666,1420
Тургенев Иван Сергеевич,Дама с собачкой,1554,49
Достоевский Фёдор Михайлович,Белая гвардия,1394,1515
Толстой Лев Николаевич,Мертвые души,1727,1580
Тургенев Иван Сергеевич,Лёгкое дыхание,1971,1245
Некрасов Николай Алексеевич,Антоновские яблоки,1732,780
Гоголь Николай Васильевич,Записки охотника,1935,1896
Некрасов Николай Алексеевич,Судьба человека,2012,467
Достоевский Фёдор Михайлович,Белая гвардия,1370,1921
Шолохов Михаил Александрович,Русские женщины,1682,662
