ФИО автора,название,год издания,количество страниц
Некрасов Николай Алексеевич,Преступление и наказание,1929,1881
Некрасов Николай Алексеевич,Вий,1392,240
Гоголь Николай Васильевич,Вий,1883,1999
Чехов Антон Павлович,Белые ночи,1619,1577
Некрасов Николай Алексеевич,Ионыч,1909,1749
Пушкин Александр Сергеевич,Преступление и наказание,1620,1333
Чехов Антон Павлович,Ионыч,1245,686
Булгаков Михаил Афанасьевич,Мертвые души,1578,1187
Бунин Иван Алексеевич,Война и мир,1824,1029
Чехов Антон Павлович,Анна Каренина,1641,1780
Шолохов Михаил Александрович,Бесы,1270,430
Толстой Алексей Николаевич,Дама с собачкой,1420,754
Толстой Алексей Николаевич,Пётр Первый,1156,1953
Некрасов Николай Алексеевич,Хамелеон,1376,1668
Некрасов Николай Алексеевич,Записки охотника,1309,1698
Бунин Иван Алексеевич,Лёгкое дыхание,1304,1713
Толстой Лев Николаевич,Шинель,1760,147
Пушкин Александр Сергеевич,Вишнёвый сад,1743,571
Гоголь Николай Васильевич,Идиот,1143,1832
Некрасов Николай Алексеевич,Листопад,1826,273
Тургенев Иван Сергеевич,Ионыч,1852,1460
Достоевский Фёдор Михайлович,Ионыч,1897,1282
Тургенев Иван Сергеевич,Медный всадник,1795,31
Толстой Лев Николаевич,Братья Карамазовы,1826,43
Толстой Алексей Николаевич,Первая любовь,1603,1576
Чехов Антон Павлович,Мастер и Маргарита,1121,1075
Шолохов Михаил Александрович,В окопах Сталинграда,1690,121
Тургенев Иван Сергеевич,Судьба человека,1924,1676
Некрасов Виктор Платонович,Дом с мезонином,1992,1998
Гоголь Николай Васильевич,Русские женщины,1999,861
Булгаков Михаил Афанасьевич,Кому на Руси жить хорошо,1792,150
Пушкин Александр Сергеевич,Ася,1872,1510
Толстой Алексей Николаевич,Дама с собачкой,1415,114
Толстой Лев Николаевич,Преступление и наказание,1430,313
Толстой Алексей Николаевич,Шинель,1691,1177
Шолохов Михаил Александрович,Мастер и Маргарита,1979,1849
Булгаков Михаил Афанасьевич,Маленькая печальная повесть,1623,1779
Булгаков Михаил Афанасьевич,Хождение по мукам,1875,444
Толстой Алексей Николаевич,Воскресение,1497,965
Шолохов Михаил Александрович,Идиот,1655,1393
Толстой Алексей Николаевич,Белая гвардия,1463,571
Некрасов Виктор Платонович,Шинель,1873,318
Пушкин Александр Сергеевич,Антоновские яблоки,1632,969
Толстой Алексей Николаевич,Шинель,1707,710
Булгаков Михаил Афанасьевич,Белая гвардия,1886,1983
Шолохов Михаил Александрович,Собачье сердце,1115,1142
Булгаков Михаил Афанасьевич,Собачье сердце,1327,1060
Пушкин Александр Сергеевич,Евгений Онегин,1299,1197
Достоевский Фёдор Михайлович,Ревизор,1274,1683
Достоевский Фёдор Михайлович,Дом с мезонином,1583,1517
Бунин Иван Алексеевич,Листопад,1342,129
Некрасов Виктор Платонович,Отцы и дети,1446,1471
Тургенев Иван Сергеевич,Вишнёвый сад,1604,1231
Некрасов Виктор Платонович,Ионыч,1104,1211
Булгаков Михаил Афанасьевич,Тёмные аллеи,1264,920
Толстой Лев Николаевич,Тарас Бульба,1216,662
Некрасов Николай Алексеевич,Дама с собачкой,1724,1024
Тургенев Иван Сергеевич,Шинель,1617,559
Булгаков Михаил Афанасьевич,Лёгкое дыхание,2019,195
Некрасов Виктор Платонович,Лёгкое дыхание,1712,752
Булгаков Михаил Афанасьевич,Донские рассказы,1950,208
Чехов Антон Павлович,Записки охотника,1386,979
Пушкин Александр Сергеевич,Мастер и Маргарита,1699,657
Шолохов Михаил Александрович,Морфий,1350,1578
Пушкин Александр Сергеевич,Медный всадник,1484,1922
Пушкин Александр Сергеевич,Мастер и Маргарита,1737,1872
Бунин Иван Алексеевич,Отцы и дети,2003,1907
Толстой Алексей Николаевич,Мертвые души,1324,268
Толстой Лев Николаевич,Идиот,1573,1929
Некрасов Виктор Платонович,Русские женщины,1868,1169
Булгаков Михаил Афанасьевич,Воскресение,1743,571
Шолохов Михаил Александрович,Судьба человека,1376,174
Гоголь Николай Васильевич,Анна Каренина,1153,827
Некрасов Виктор Платонович,Белая гвардия,1515,271
Бунин Иван Алексеевич,Бесы,1134,578
Шолохов Михаил Александрович,Братья Карамазовы,1610,1165
Шолохов Михаил Александрович,Братья Карамазовы,1966,1291
Булгаков Михаил Афанасьевич,Мертвые души,1358,967
Некрасов Виктор Платонович,Пётр Первый,1907,1835
Толстой Лев Николаевич,Митина любовь,1488,89
Булгаков Михаил Афанасьевич,Морфий,1344,902
Шолохов Михаил Александрович,Тихий Дон,1304,806
Достоевский Фёдор Михайлович,Отцы и дети,1463,1854
Достоевский Фёдор Михайлович,Антоновские яблоки,1878,154
Достоевский Фёдор Михайлович,Хамелеон,1156,1130
Чехов Антон Павлович,Хождение по мукам,1152,383
Пушкин Александр Сергеевич,Кому на Руси жить хорошо,1940,1548
Толстой Лев Николаевич,Мертвые души,1253,1304
Тургенев Иван Сергеевич,Аэлита,1747,1176
Шолохов Михаил Александрович,Воскресение,1431,1667
Чехов Антон Павлович,Маленькая печальная повесть,1714,501
Некрасов Николай Алексеевич,Рядовой Лютиков,1300,1913
Некрасов Николай Алексеевич,Аэлита,1469,1667
Толстой Алексей Николаевич,Вишнёвый сад,1349,1545
Тургенев Иван Сергеевич,Судьба человека,1736,1357
Бунин Иван Алексеевич,Медный всадник,1553,1622
Гоголь Николай Васильевич,Хождение по мукам,1232,1687
Шолохов Михаил Александрович,Собачье сердце,1499,1619
Бунин Иван Алексеевич,Идиот,1531,943
Булгаков Михаил Афанасьевич,Бесы,1376,1465
Тургенев Иван Сергеевич,Ревизор,1408,60
Толстой Алексей Николаевич,Тихий Дон,2015,1074
Булгаков Михаил Афанасьевич,Собачье сердце,1522,1227
Бунин Иван Алексеевич,Донские рассказы,1925,955
Пушкин Александр Сергеевич,Хамелеон,1703,1118
Шолохов Михаил Александрович,Тихий Дон,1222,1463
Булгаков Михаил Афанасьевич,Вишнёвый сад,1521,1792
Чехов Антон Павлович,Идиот,1850,1346
Тургенев Иван Сергеевич,Евгений Онегин,1234,103
Гоголь Николай Васильевич,Отцы и дети,1756,1178
Чехов Антон Павлович,Донские рассказы,1296,1256
Толстой Алексей Николаевич,Отцы и дети,1854,609
Тургенев Иван Сергеевич,Маленькая печальная повесть,1602,817
Булгаков Михаил Афанасьевич,Анна Каренина,1399,1088
Шолохов Михаил Александрович,Евгений Онегин,1962,437
Тургенев Иван Сергеевич,Евгений Онегин,1621,387
Бунин Иван Алексеевич,В окопах Сталинграда,1197,1677
Гоголь Николай Васильевич,Анна Каренина,1359,906
Толстой Лев Николаевич,Отцы и дети,1242,907
Тургенев Иван Сергеевич,Детство,1461,1922
Некрасов Виктор Платонович,Хождение по мукам,1326,1674
Чехов Антон Павлович,Война и мир,1186,1081
Достоевский Фёдор Михайлович,Преступление и наказание,1108,1597
Некрасов Виктор Платонович,В окопах Сталинграда,1500,1520
Пушкин Александр Сергеевич,Шинель,1290,217
Достоевский Фёдор Михайлович,Записки охотника,1359,795
Бунин Иван Алексеевич,Русские женщины,1261,1330
Толстой Лев Николаевич,Отцы и дети,1529,44
Гоголь Николай Васильевич,Дама с собачкой,1392,893
Бунин Иван Алексеевич,Русские женщины,1965,1043
Чехов Антон Павлович,Вий,1895,1376
Булгаков Михаил Афанасьевич,Воскресение,1626,1153
Толстой Алексей Николаевич,Евгений Онегин,1901,1405
Шолохов Михаил Александрович,Мастер и Маргарита,1206,1287
Булгаков Михаил Афанасьевич,Бесы,1272,1870
Бунин Иван Алексеевич,Хождение по мукам,1322,1643
Шолохов Михаил Александрович,Пётр Первый,1265,1361
Чехов Антон Павлович,Анна Каренина,1927,1427
Достоевский Фёдор Михайлович,Лёгкое дыхание,1459,98
Некрасов Виктор Платонович,Пётр Первый,1683,434
Толстой Алексей Николаевич,Детство,1945,1932
Достоевский Фёдор Михайлович,Лёгкое дыхание,1403,396
Пушкин Александр Сергеевич,Аэлита,1943,1549
Пушкин Александр Сергеевич,Вишнёвый сад,1108,506
Гоголь Николай Васильевич,Воскресение,1627,731
Чехов Антон Павлович,Отцы и дети,1596,1303
Шолохов Михаил Александрович,Анна Каренина,1697,790
Гоголь Николай Васильевич,Железная дорога,1655,1817
Достоевский Фёдор Михайлович,Донские рассказы,1849,1037
Пушкин Александр Сергеевич,Тёмные аллеи,1917,86
Пушкин Александр Сергеевич,Записки охотника,1121,1992
Некрасов Николай Алексеевич,Бесы,1966,831
Булгаков Михаил Афанасьевич,Кому на Руси жить хорошо,1671,1988
Тургенев Иван Сергеевич,Тёмные аллеи,1359,1114
Пушкин Александр Сергеевич,Медный всадник,1666,1956
Достоевский Фёдор Михайлович,Первая любовь,1794,1070
Толстой Лев Николаевич,Хамелеон,1216,494
Толстой Лев Николаевич,Война и мир,1401,557
Некрасов Виктор Платонович,Вий,1103,1859
Булгаков Михаил Афанасьевич,Листопад,1504,155
Толстой Алексей Николаевич,Дом с мезонином,1735,957
Бунин Иван Алексеевич,Война и мир,1498,1542
Толстой Алексей Николаевич,Вишнёвый сад,1591,1331
Некрасов Виктор Платонович,Митина любовь,1935,488
Шолохов Михаил Александрович,Бесы,1851,209
Толстой Алексей Николаевич,Ревизор,1787,900
Шолохов Михаил Александрович,Тихий Дон,1296,1009
Гоголь Николай Васильевич,Белая гвардия,1203,241
Булгаков Михаил Афанасьевич,Аэлита,1391,1235
Достоевский Фёдор Михайлович,Маленькая печальная повесть,1527,1287
Бунин Иван Алексеевич,Аэлита,1840,729
Толстой Алексей Николаевич,Собачье сердце,1429,1186
Тургенев Иван Сергеевич,Мертвые души,1724,1827
Гоголь Николай Васильевич,Вий,1913,688
Достоевский Фёдор Михайлович,Тарас Бульба,1812,374
Бунин Иван Алексеевич,Война и мир,1468,308
Достоевский Фёдор Михайлович,Ревизор,1722,673
Пушкин Александр Сергеевич,Рядовой Лютиков,1845,1569
Булгаков Михаил Афанасьевич,Маленькая печальная повесть,1554,1306
Тургенев Иван Сергеевич,Отцы и дети,2026,1597
Шолохов Михаил Александрович,Преступление и наказание,1467,1170
Толстой Лев Николаевич,Хождение по мукам,1718,1485
Гоголь Николай Васильевич,Кому на Руси жить хорошо,1210,1570
Достоевский Фёдор Михайлович,Ася,1736,703
Достоевский Фёдор Михайлович,Собачье сердце,1116,445
Некрасов Николай Алексеевич,Дама с собачкой,2014,1568
Бунин Иван Алексеевич,Донские рассказы,1378,1729
Шолохов Михаил Александрович,Евгений Онегин,1913,235
Достоевский Фёдор Михайлович,Хождение по мукам,1269,541
Некрасов Николай Алексеевич,Маленькая печальная повесть,1357,118
Толстой Лев Николаевич,Бесы,1801,1210
Толстой Лев Николаевич,Железная дорога,1528,1851
Некрасов Виктор Платонович,Морфий,1742,768
Гоголь Николай Васильевич,Тихий Дон,1449,41
Булгаков Михаил Афанасьевич,Идиот,1935,810
Булгаков Михаил Афанасьевич,Листопад,1360,1943
Толстой Лев Николаевич,Железная дорога,1349,1389
Некрасов Виктор Платонович,Пётр Первый,1838,1330
Бунин Иван Алексеевич,Война и мир,1514,112
Некрасов Виктор Платонович,Собачье сердце,1325,1183
