author,title,year,pages
Чернышевский Николай Гаврилович,Тихий Дон,2005,1405
Лермонтов Михаил Юрьевич,Тихий Дон,1941,871
Есенин Сергей Александрович,Хамелеон,1895,768
Ахматова Анна Андреевна,Хождение по мукам,1808,827
Ильф Илья Арнольдович,Белые ночи,1981,752
Тургенев Иван Сергеевич,Хамелеон,2025,920
Грин Александр Степанович,Воскресение,1949,1374
Лермонтов Михаил Юрьевич,Морфий,1879,600
Петров Евгений Петрович,Белая гвардия,1890,163
Цветаева Марина Ивановна,Донские рассказы,1916,104
Островский Александр Николаевич,Вишнёвый сад,1810,566
Куприн Александр Иванович,Крестьянские дети,1817,827
Булгаков Михаил Афанасьевич,Ася,1983,1159
Некрасов Николай Алексеевич,Аэлита,1975,891
Толстой Лев Николаевич,Судьба человека,1866,1045
Добролюбов Николай Александрович,Мастер и Маргарита,1929,285
Цветаева Марина Ивановна,Дама с собачкой,1922,730
Бродский Иосиф Александрович,Братья Карамазовы,1978,1294
Лермонтов Михаил Юрьевич,Шинель,1937,1243
Толстой Лев Николаевич,Русские женщины,1915,661
Толстой Лев Николаевич,Лёгкое дыхание,1801,436
Пушкин Александр Сергеевич,Митина любовь,1862,236
Булгаков Михаил Афанасьевич,Детство,1862,1074
Ахматова Анна Андреевна,Морфий,1940,106
Толстой Алексей Николаевич,Ионыч,2024,1388
Платонов Андрей Платонович,Отцы и дети,1978,1124
Мандельштам Осип Эмильевич,Крестьянские дети,1915,626
Гоголь Николай Васильевич,Бесы,1864,408
Грин Александр Степанович,Хождение по мукам,1920,957
Ахматова Анна Андреевна,Первая любовь,1838,487
Пастернак Борис Леонидович,Лёгкое дыхание,1852,604
Куприн Александр Иванович,Собачье сердце,1812,1499
Добролюбов Николай Александрович,Тихий Дон,1950,367
Бродский Иосиф Александрович,Мертвые души,1945,1336
Толстой Лев Николаевич,Хамелеон,1911,1019
Стругацкий Борис Натанович,Белые ночи,1816,292
Ильф Илья Арнольдович,Пётр Первый,1915,59
Шолохов Михаил Александрович,Крестьянские дети,1908,910
Толстой Лев Николаевич,Вишнёвый сад,1953,868
Гоголь Николай Васильевич,Антоновские яблоки,1841,548
Набоков Владимир Владимирович,Кому на Руси жить хорошо,1896,504
Лесков Николай Семёнович,Анна Каренина,1973,933
Горький Максим,Маленькая печальная повесть,2018,637
Добролюбов Николай Александрович,Братья Карамазовы,2004,1463
Куприн Александр Иванович,Судьба человека,1941,737
Добролюбов Николай Александрович,Хамелеон,1821,1212
Петров Евгений Петрович,Детство,1889,1446
Пастернак Борис Леонидович,Воскресение,1899,1272
Толстой Алексей Николаевич,Дом с мезонином,1901,1449
Стругацкий Аркадий Натанович,Шинель,1869,461
Пушкин Александр Сергеевич,Хамелеон,1978,872
Замятин Евгений Иванович,Мастер и Маргарита,1993,483
Стругацкий Борис Натанович,Железная дорога,1953,1243
Некрасов Виктор Платонович,Шинель,1986,1028
Блок Александр Александрович,Воскресение,1981,1170
Пастернак Борис Леонидович,Отцы и дети,1885,562
Грин Александр Степанович,Преступление и наказание,1885,193
Маяковский Владимир Владимирович,Идиот,1963,1220
Толстой Лев Николаевич,Белые ночи,1982,281
Бродский Иосиф Александрович,Война и мир,1947,1032
Пастернак Борис Леонидович,Отцы и дети,1829,1171
Есенин Сергей Александрович,Записки охотника,1880,79
Некрасов Виктор Платонович,Мастер и Маргарита,1955,968
Толстой Лев Николаевич,Русские женщины,1873,1222
Толстой Лев Николаевич,Хождение по мукам,1955,887
Толстой Лев Николаевич,Хамелеон,1854,797
Толстой Лев Николаевич,Братья Карамазовы,1997,855
Горький Максим,Идиот,1825,222
Добролюбов Николай Александрович,Евгений Онегин,1830,475
Замятин Евгений Иванович,Отцы и дети,1971,704
Некрасов Николай Алексеевич,Первая любовь,1893,440
Толстой Лев Николаевич,Мертвые души,1852,401
Грин Александр Степанович,Ася,1834,591
Куприн Александр Иванович,Рядовой Лютиков,1851,1126
Островский Александр Николаевич,Воскресение,1878,1312
Булгаков Михаил Афанасьевич,Белые ночи,1856,1216
Блок Александр Александрович,Хождение по мукам,1966,166
Стругацкий Аркадий Натанович,Ионыч,1981,1219
Чернышевский Николай Гаврилович,Анна Каренина,1987,628
