size,linear_ms,bst_ms,rbt_ms,hash_ms,multimap_ms,collisions
100,0.001,0.002,0.001,0.001,0.001,70
500,0.003,0.004,0.004,0.002,0.003,463
1000,0.005,0.002,0.002,0.001,0.002,963
5000,0.045,0.013,0.008,0.004,0.008,4962
10000,0.061,0.023,0.011,0.005,0.007,9962
25000,0.188,0.036,0.014,0.008,0.013,24962
50000,0.626,0.177,0.055,0.050,0.072,49962
100000,0.569,0.739,0.132,0.094,0.153,99962
250000,2.010,2.085,0.453,0.357,0.421,249962
500000,4.021,12.524,4.721,9.308,9.215,499962
1000000,15.759,7.087,3.181,6.340,6.360,999962
